altura,granos
976,197
910,180
940,186
816,162
947,191
800,160
954,188
879,177
879,175
885,178
898,180
930,184
912,181
844,170
871,173
826,163
930,185
897,178
838,166
920,186
894,180
869,173
901,180
873,174
826,167
858,170
955,189
820,164
887,176
995,201
874,174
860,174
934,184
872,174
924,182
993,196
970,192
980,195
822,165
914,181
968,193
800,158
980,198
865,174
923,182
903,179
931,185
904,179
869,172
907,179
847,171
995,199
889,179
936,187
867,174
975,197
802,158
999,197
815,163
912,183
899,181
939,186
890,179
925,185
848,171
864,170
902,180
838,166
805,163
834,164
817,165
860,170
852,169
938,187
908,183
848,167
954,191
988,195
978,195
802,162
888,175
910,181
807,161
858,169
830,166
844,169
918,181
987,197
894,176
879,177
976,194
922,185
927,186
962,191
884,174
815,164
844,168
892,180
996,201
905,179
934,187
978,196
956,191
909,179
913,182
956,193
847,167
929,185
840,168
950,189
949,190
927,186
897,177
871,173
924,186
954,190
920,183
934,187
871,173
887,177
848,167
870,175
969,195
979,194
897,181
895,177
936,185
969,193
888,179
911,183
895,178
947,191
979,197
947,187
821,164
813,161
848,167
906,179
868,172
925,187
919,183
914,181
895,181
824,166
816,163
839,169
906,182
947,189
931,184
897,177
970,193
975,196
929,187
954,188
901,181
979,197
904,181
948,188
822,163
908,183
985,195
856,173
800,159
922,186
831,166
826,167
937,188
972,195
934,186
834,164
949,189
986,196
818,164
853,168
808,159
839,168
901,182
911,183
842,167
852,168
869,172
927,183
972,193
879,175
903,182
850,168
988,195
880,177
921,185
819,161
977,193
819,161
831,165
936,187
811,163
851,170
835,167
917,185
984,196
961,192
939,188
830,168
828,167
811,161
903,179
828,165
914,183
803,162
913,184
840,167
905,183
819,162
874,174
910,182
901,182
823,166
881,176
996,198
919,185
841,166
974,195
850,172
895,181
971,195
914,180
967,191
967,191
915,182
814,163
855,172
877,177
927,187
884,176
931,187
912,184
917,181
964,190
866,175
998,200
991,200
949,188
905,180
923,182
953,189
977,194
874,174
840,170
933,187
999,197
966,191
900,181
814,160
959,189
836,167
801,159
989,196
855,171
967,192
938,187
815,162
959,190
980,197
881,174
814,160
857,171
870,172
819,162
952,189
966,192
893,180
993,196
909,180
912,181
819,161
991,199
999,198
904,182
878,176
981,196
997,199
960,191
953,188
918,185
986,197
906,183
880,175
948,188
977,195
819,164
987,196
963,191
973,192
948,189
958,193
986,199
857,172
870,175
879,175
990,197
863,174
836,166
916,185
814,162
953,192
835,169
897,177
940,189
868,171
936,188
962,193
917,184
873,176
815,165
891,180
876,173
868,171
902,181
902,181
981,198
893,177
956,190
806,161
840,166
986,198
936,186
849,167
926,184
910,182
979,196
940,190
934,188
916,182
914,181
856,169
839,168
899,177
860,173
866,172
849,168
822,164
810,161
937,187
991,197
961,191
809,161
833,166
969,193
843,170
859,173
995,200
944,188
970,192
902,180
867,171
972,195
932,186
984,194
829,167
852,170
835,165
833,165
883,174
937,186
956,191
836,168
831,166
846,170
853,171
858,170
930,188
809,160
895,179
877,177
833,166
892,176
895,177
860,174
976,194
910,181
954,192
928,184
831,167
942,187
989,195
932,185
864,172
844,169
923,186
934,185
956,193
853,172
938,186
903,179
941,188
809,163
930,184
887,179
886,175
992,200
852,170
905,183
884,176
943,190
977,194
908,182
993,196
901,180
922,186
898,181
937,186
808,160
940,186
970,192
926,187
846,169
800,161
954,191
984,196
978,197
911,180
948,188
993,200
925,183
851,171
928,185
947,189
893,180
848,170
985,199
975,193
851,172
907,183
805,161
876,174
864,172
942,189
948,191
816,161
987,198
897,177
852,170
880,176
899,178
939,186
874,173
933,185
854,171
901,179
963,194
989,199
912,184
937,186
883,174
876,177
997,201
873,176
836,166
989,195
908,181
806,161
931,184
997,198
898,178
902,182
869,175
821,163
997,200
827,167
822,166
958,189
953,192
954,192
890,180
891,179
917,185
818,162
928,187
813,162
901,179
852,172
938,189
963,193
845,171
841,169
922,186
834,167
997,198
949,190
905,179
907,180
863,171
846,171
900,181
874,173
839,168
946,191
932,184
867,174
939,187
862,171
894,179
963,191
833,168
811,163
901,178
803,161
928,186
976,195
830,165
836,165
911,180
956,192
994,197
894,180
929,185
812,164
857,170
962,194
976,195
908,179
971,196
848,170
999,198
878,176
985,197
887,178
999,201
963,193
834,165
904,178
876,174
949,190
866,171
976,194
941,187
931,186
834,165
876,177
802,159
973,192
964,192
837,166
916,182
976,195
976,197
916,183
800,158
996,197
818,164
831,168
880,177
953,188
893,179
863,170
999,197
842,168
987,196
854,172
953,188
950,190
943,188
930,186
850,168
987,195
841,166
871,175
960,192
935,188
887,177
916,185
948,191
834,168
909,181
926,184
807,161
910,181
915,182
997,197
983,197
943,190
855,169
973,193
971,195
986,195
865,172
