altura,granos
279,57
247,49
225,46
271,54
229,43
227,44
259,50
281,57
295,60
250,49
259,51
258,52
227,45
203,38
202,39
279,54
236,45
224,45
207,42
290,56
259,53
260,52
276,56
266,53
206,43
234,47
298,60
295,60
214,40
279,53
279,57
215,45
202,39
229,45
242,50
275,54
234,47
219,44
230,45
260,53
291,60
262,51
280,55
223,43
285,59
283,58
289,59
238,47
286,59
224,44
212,44
239,45
291,58
209,43
205,39
218,44
226,46
255,52
258,50
239,48
287,59
216,42
281,57
206,39
277,53
292,58
291,59
257,52
280,54
212,41
245,50
239,46
292,58
263,54
226,46
280,55
206,39
251,48
205,43
223,43
215,41
252,51
270,52
243,46
251,52
211,43
217,43
273,52
220,44
272,52
235,48
216,42
256,53
219,41
280,54
243,48
289,59
236,47
211,43
217,41
220,45
233,47
253,48
287,55
206,41
208,39
228,47
259,51
290,57
270,52
258,53
256,51
212,40
276,54
245,49
212,43
279,57
257,50
203,42
239,47
221,44
271,56
274,54
228,44
274,56
204,40
245,51
204,39
233,48
242,49
295,60
270,56
204,40
256,53
278,55
292,59
273,55
245,47
238,45
234,48
292,57
268,55
214,42
269,51
227,43
300,58
247,47
274,53
207,42
299,58
300,59
239,45
288,56
253,51
228,44
233,45
299,59
234,47
267,51
288,55
209,40
215,44
254,50
280,58
266,51
271,56
236,49
277,54
231,44
286,56
293,59
285,56
202,39
231,45
200,38
247,49
236,49
274,54
272,56
275,56
217,45
280,55
262,54
278,57
242,48
271,54
288,59
282,54
219,45
272,52
215,45
205,42
237,49
256,51
232,47
235,49
227,43
262,51
279,56
222,42
222,42
216,42
296,57
295,57
228,46
221,45
227,44
289,58
217,44
222,45
263,52
214,44
208,39
279,53
277,56
228,47
228,46
297,59
219,43
274,54
214,40
265,52
227,47
213,44
203,40
255,50
224,45
231,45
236,45
220,44
259,52
229,43
218,41
216,44
222,46
275,53
212,41
218,42
238,47
292,56
259,53
206,40
206,39
289,56
296,57
287,59
290,56
261,54
205,43
207,39
244,47
243,50
228,43
242,49
221,44
257,51
233,47
213,40
235,45
289,57
229,46
284,54
224,45
295,58
269,52
212,41
260,50
212,42
275,54
286,56
283,56
270,54
293,57
204,38
242,49
279,54
229,47
299,60
256,50
278,55
260,51
300,62
226,44
270,54
274,55
248,51
229,44
249,48
279,54
286,57
249,50
295,57
213,43
290,59
238,47
219,41
278,56
257,49
259,51
235,47
278,55
264,50
217,42
284,57
248,48
217,43
203,41
242,50
249,51
245,47
228,43
287,58
238,45
228,46
299,61
206,39
261,50
298,58
260,50
266,51
242,49
255,51
238,48
265,54
274,52
269,54
215,45
242,50
204,38
224,43
217,41
215,44
219,45
284,54
226,46
207,40
237,46
204,41
282,56
252,51
249,48
232,48
256,50
293,57
218,44
271,52
205,39
248,47
252,49
253,50
288,59
277,57
221,46
222,44
287,55
238,49
214,44
250,50
298,58
288,55
290,57
241,47
296,58
286,57
245,51
214,40
272,54
216,42
258,53
239,48
216,43
240,48
280,54
221,43
217,44
216,45
290,60
216,45
277,57
205,39
239,47
227,44
258,52
289,59
274,55
228,45
243,48
287,58
213,44
299,57
239,48
258,52
202,38
236,48
241,50
292,58
296,61
224,44
271,52
295,59
228,43
292,56
210,43
282,57
270,52
221,46
275,55
237,46
273,54
278,54
220,46
221,44
249,47
220,45
230,44
223,42
215,42
300,62
300,59
262,54
210,40
276,55
231,48
229,46
219,42
217,42
253,49
256,51
265,52
278,55
290,57
277,56
243,47
239,49
268,52
294,59
270,54
219,42
255,51
264,52
250,50
231,45
245,48
202,38
269,55
263,50
235,48
219,44
240,48
219,42
290,57
257,50
213,42
227,45
238,46
288,58
226,45
271,53
261,50
284,57
298,58
248,51
271,53
208,43
253,48
292,57
260,51
267,52
231,48
218,45
255,53
224,46
238,46
281,58
204,39
279,53
204,41
207,40
263,52
251,50
260,54
219,44
217,44
295,61
236,45
289,57
271,56
286,55
237,45
291,59
235,49
275,57
202,41
262,53
280,55
233,48
275,57
258,50
214,42
214,41
296,58
222,42
272,53
289,56
266,51
247,47
271,53
286,58
255,51
221,42
275,57
284,57
277,53
201,38
211,44
248,49
259,52
225,43
274,52
219,43
251,48
226,44
223,43
279,54
296,57
265,54
281,58
206,41
220,42
222,45
228,46
251,48
225,46
225,44
254,48
206,43
295,58
279,56
228,47
276,53
215,43
225,47
238,45
246,50
277,53
284,57
200,41
278,56
210,40
293,56
249,51
237,48
226,44
262,52
202,41
261,54
262,53
213,44
235,45
229,43
256,51
253,52
209,43
298,61
245,51
237,45
288,56
283,56
254,51
296,57
295,58
253,48
211,44
243,47
288,58
230,44
252,48
271,54
213,41
296,61
279,56
218,44
293,58
271,54
278,57
216,44
266,52
300,58
252,48
294,57
224,44
214,44
281,58
236,45
242,47
209,41
215,45
232,45
200,38
265,52
202,38
248,47
266,54
227,46
246,48
281,56
214,42
214,41
237,48
245,50
208,41
260,53
248,50
217,44
267,54
290,56
207,41
270,55
232,46
210,43
295,58
261,51
300,58
271,56
237,48
233,46
273,54
223,45
232,48
225,46
287,56
265,54
220,43
208,42
290,56
204,41
284,57
235,49
274,56
215,44
289,57
290,56
226,43
286,56
255,52
225,47
291,57
284,57
249,47
215,44
275,54
292,58
238,45
206,41
258,53
217,44
240,48
263,54
228,43
243,48
246,49
265,55
268,51
201,39
215,42
283,56
258,50
294,58
250,52
218,45
226,43
265,52
269,55
235,46
264,50
288,55
279,53
260,50
259,49
269,51
248,47
233,44
286,58
295,58
217,43
252,51
236,46
219,43
234,45
206,40
254,49
236,46
214,44
256,50
273,56
270,55
271,54
252,52
230,45
237,49
261,52
213,44
295,60
202,38
274,55
226,46
281,54
246,47
243,46
205,43
283,54
215,41
261,53
295,59
254,52
220,43
246,47
265,53
238,47
250,52
275,57
246,50
276,54
267,55
266,55
215,45
238,47
232,45
299,60
234,48
279,54
275,55
281,56
256,51
252,51
206,41
273,56
218,45
220,42
294,60
261,54
223,42
259,53
207,40
280,58
288,56
277,54
243,46
229,47
299,59
287,55
281,54
237,48
215,43
297,59
245,47
206,39
236,49
244,47
238,45
232,45
274,52
258,52
227,44
294,60
237,48
233,44
243,47
280,58
296,57
268,55
237,46
285,55
292,60
263,50
224,44
284,54
265,52
291,59
255,53
208,40
264,54
289,59
289,56
247,49
287,57
202,42
203,39
235,46
293,58
265,54
271,53
241,50
256,53
202,41
202,41
211,41
232,47
273,56
236,46
245,51
220,43
223,44
292,59
298,58
260,54
265,55
241,47
215,45
227,46
231,45
238,45
224,46
214,43
243,50
298,59
236,49
279,55
208,41
206,40
297,57
258,51
252,49
209,40
264,50
242,48
247,50
230,45
204,38
256,53
263,52
275,55
277,53
299,59
207,41
246,49
222,45
238,45
274,55
266,54
278,56
217,45
219,45
263,51
211,42
271,52
261,54
238,47
224,42
285,59
220,43
270,52
249,51
256,49
240,46
227,46
277,55
238,47
270,55
224,46
249,49
242,47
244,46
229,45
284,54
278,54
284,55
260,52
253,49
206,41
205,40
293,59
263,53
249,49
261,54
206,42
211,41
257,49
211,43
238,45
227,45
234,44
222,45
220,42
264,53
233,48
273,52
208,43
276,54
282,57
268,55
264,50
210,44
246,51
212,41
209,43
247,51
265,54
212,42
271,53
218,41
254,51
273,55
281,57
202,42
261,53
290,57
200,40
213,40
268,51
203,42
229,44
289,55
275,57
300,61
270,56
248,48
259,53
263,53
292,57
295,60
254,52
249,49
203,41
246,47
279,55
258,53
231,44
211,41
273,54
233,45
240,48
266,55
233,44
206,40
266,54
241,49
289,56
220,44
204,40
223,44
265,55
276,56
289,57
234,45
279,55
266,54
219,44
291,60
243,47
269,53
239,49
241,50
221,43
255,49
204,42
234,48
255,50
229,43
223,43
205,41
292,59
256,53
215,45
270,53
250,50
294,60
285,55
239,47
269,51
232,45
201,40
254,49
290,59
227,45
200,39
257,52
274,54
238,45
287,56
236,46
290,58
200,38
230,47
259,52
296,59
206,41
300,61
224,43
277,54
212,42
246,47
287,58
280,56
299,61
222,46
267,54
276,57
252,50
237,45
297,60
264,51
280,56
217,45
240,47
205,40
264,53
242,46
221,42
205,39
221,44
257,49
280,58
269,52
253,49
277,54
216,43
229,47
272,55
272,55
220,45
237,45
249,51
247,48
210,42
287,59
233,46
279,57
219,41
276,56
216,45
262,54
204,41
214,42
221,43
270,52
280,57
266,53
271,53
297,61
297,57
214,44
223,43
268,51
294,59
211,44
257,52
272,56
221,44
220,43
269,52
267,51
282,57
249,49
270,53
230,44
222,45
299,57
265,51
237,48
295,57
281,55
258,52
245,50
218,42
214,43
285,57
241,48
300,61
206,43
216,45
292,59
211,44
249,49
298,60
201,39
270,54
238,48
261,52
254,51
254,49
258,51
278,53
226,47
252,51
300,60
258,51
259,52
282,54
206,43
232,45
246,50
279,54
262,51
229,46
251,48
263,53
212,44
242,49
270,54
250,49
262,51
268,51
257,53
238,45
292,59
202,40
223,42
298,58
201,42
236,47
202,39
236,47
283,57
292,57
243,48
214,41
229,43
232,45
281,58
300,58
202,42
237,45
247,49
210,40
247,50
229,47
280,57
253,50
240,50
226,45
278,57
214,44
206,40
248,50
216,43
298,57
223,46
294,59
225,47
254,52
265,55
209,40
254,52
216,43
280,56
289,57
253,49
267,55
238,47
261,52
274,54
214,41
298,57
296,60
281,57
239,45
258,52
297,61
242,49
247,49
262,54
258,52
213,40
258,51
220,46
206,43
200,39
294,57
300,60
240,47
210,42
232,46
296,59
212,43
250,51
281,57
286,58
224,42
237,45
230,48
212,43
298,60
226,43
283,57
272,55
212,42
236,47
213,43
264,54
230,46
275,55
221,45
248,48
206,41
225,46
288,59
286,59
216,41
279,57
264,52
263,54
261,52
294,57
288,57
290,59
267,54
201,40
296,58
233,46
251,50
258,53
271,52
281,57
244,47
232,46
299,59
237,45
288,55
211,41
287,56
276,57
226,47
262,51
271,55
284,57
273,56
257,50
246,47
299,61
202,41
226,43
269,51
274,55
293,60
228,47
209,42
222,46
288,56
284,56
267,55
212,43
272,54
221,46
262,51
294,60
234,46
218,41
238,49
240,50
240,47
203,40
257,53
252,52
251,52
299,60
233,47
287,56
299,58
270,52
228,43
213,43
287,58
208,43
296,59
266,51
275,56
260,52
215,44
218,44
216,45
253,49
227,45
259,52
200,41
256,52
255,51
228,44
245,47
294,56
230,45
275,56
261,54
225,43
221,46
232,46
231,45
266,53
244,50
265,53
300,60
289,57
219,45
211,41
262,54
296,59
286,56
231,46
269,51
204,42
279,57
252,50
268,53
295,57
255,53
270,55
265,51
224,45
288,56
214,41
237,48
222,45
247,49
233,47
290,58
247,47
264,51
203,41
270,54
243,49
205,39
289,57
220,42
273,53
266,51
288,58
296,58
299,59
300,62
227,44
295,57
251,49
275,53
267,55
222,44
286,58
205,43
242,50
228,45
260,52
211,40
294,57
213,44
226,44
227,47
272,55
218,45
259,52
268,51
283,55
296,60
231,48
291,57
296,60
223,43
215,42
263,51
273,56
246,48
228,45
290,56
210,43
297,61
289,57
249,49
229,44
219,43
295,59
277,53
233,48
227,45
219,44
243,47
296,58
202,42
207,39
220,42
208,41
217,41
262,54
244,49
226,43
221,45
216,44
272,52
213,40
294,56
263,52
271,52
272,55
219,43
290,56
215,45
291,57
233,46
262,54
221,43
298,59
296,57
293,60
298,61
254,52
250,51
274,54
247,49
244,47
279,55
298,58
251,51
242,49
285,58
287,57
298,60
268,53
244,47
245,48
264,50
212,44
271,56
261,53
257,53
233,44
236,46
289,55
270,53
215,41
289,58
243,49
200,38
220,44
238,48
202,40
242,47
281,54
232,45
213,43
236,47
284,57
288,55
235,47
217,43
297,59
229,46
227,45
206,41
280,55
259,52
232,45
205,41
283,58
212,40
228,47
262,52
240,48
237,47
270,52
237,46
279,53
219,43
243,50
238,46
263,50
261,51
267,54
264,54
292,59
272,56
285,57
202,42
238,46
217,41
263,51
212,42
293,59
267,54
213,40
238,48
254,50
204,42
293,59
258,52
236,46
272,53
251,48
292,59
225,43
202,38
280,55
276,55
251,48
209,43
231,46
299,59
249,47
216,41
237,46
262,52
236,49
280,58
243,47
267,55
288,55
278,56
255,49
261,54
242,49
250,50
297,59
278,57
218,45
226,46
299,60
231,44
229,44
209,39
205,40
229,45
216,42
201,41
255,53
222,43
239,49
267,51
295,59
256,49
243,47
219,42
297,57
268,54
218,43
249,50
247,47
264,50
273,55
216,45
262,50
296,58
266,51
221,46
265,53
293,58
270,55
273,52
256,50
231,48
216,44
225,44
205,43
284,54
299,61
267,54
232,44
228,46
268,54
236,45
210,44
216,42
239,47
207,43
203,38
259,53
212,40
253,51
259,52
240,50
223,45
253,48
291,60
249,51
243,48
286,58
289,58
215,43
233,44
215,45
214,44
240,46
228,43
219,42
271,56
248,49
212,44
295,59
288,58
211,44
285,59
238,46
254,49
265,55
291,56
216,42
257,51
296,57
203,41
261,54
283,57
283,58
216,42
240,48
200,40
272,56
278,53
219,42
279,57
253,49
250,49
283,56
296,60
213,43
268,55
270,53
229,43
294,59
265,51
269,52
297,60
241,48
300,62
232,46
221,43
241,49
255,51
290,58
292,58
286,57
247,48
290,57
221,46
280,58
251,51
252,48
231,46
277,56
294,58
291,58
281,56
225,44
288,59
238,45
253,52
206,39
244,47
246,49
232,46
290,58
273,54
205,40
223,42
242,47
234,46
209,41
288,55
233,44
268,51
205,43
296,58
271,52
265,55
269,53
262,53
288,59
257,51
295,61
250,49
209,42
258,51
214,41
291,58
219,43
275,57
266,55
247,50
227,47
216,41
241,50
204,41
237,47
234,45
233,46
231,44
230,45
208,39
204,38
280,55
300,60
241,50
234,48
257,53
240,50
248,50
244,47
286,58
247,50
218,45
240,50
226,47
245,49
223,44
232,44
295,59
278,57
264,54
291,60
257,52
205,39
272,52
229,43
215,41
243,49
213,44
287,57
221,45
266,53
248,51
238,48
282,55
219,45
288,58
217,45
227,43
269,54
208,40
288,58
200,42
201,39
235,45
294,60
232,45
300,62
297,61
206,43
233,46
209,40
212,41
221,46
208,39
201,42
231,46
247,51
277,54
204,39
263,51
234,46
295,60
236,46
218,43
276,53
265,54
264,52
266,54
272,52
219,45
281,56
231,44
255,52
200,40
257,49
298,60
274,54
269,54
283,56
237,49
258,49
292,59
222,46
200,42
216,45
229,44
224,42
271,54
205,39
261,50
229,47
261,53
223,42
237,47
263,50
279,55
225,47
234,45
292,60
257,51
221,42
223,42
234,44
271,54
247,50
249,50
258,51
292,57
227,44
213,43
261,51
275,57
207,40
218,43
282,57
258,52
280,55
231,46
288,57
276,56
223,44
250,49
275,56
285,58
259,52
236,49
233,46
265,55
245,48
213,41
275,56
259,51
252,49
250,51
241,49
260,54
210,41
290,60
292,56
229,46
264,52
293,60
257,49
257,52
261,53
261,53
200,41
232,44
275,53
219,44
282,55
213,40
282,55
207,42
214,42
295,58
299,59
212,43
258,52
200,38
287,55
242,47
242,47
213,44
293,56
201,39
296,58
255,50
259,53
281,58
215,44
203,40
220,44
290,57
265,52
215,41
206,43
234,47
244,50
272,56
270,54
215,44
276,57
239,46
208,43
275,54
230,45
259,53
278,57
287,57
250,50
226,45
257,52
206,39
255,50
252,50
218,41
263,50
247,47
291,58
214,40
250,50
214,44
264,51
245,48
260,52
294,59
263,53
244,48
209,40
268,52
234,46
204,40
219,41
242,48
219,45
291,59
291,60
226,44
289,55
260,53
265,52
235,47
259,53
211,40
294,60
201,39
269,51
281,57
219,45
281,58
277,57
283,58
286,58
274,53
226,47
207,43
286,57
243,49
215,44
236,49
230,47
275,56
225,47
284,57
292,60
207,41
285,57
202,42
240,49
275,54
208,43
207,39
249,51
281,54
272,56
266,55
264,54
222,42
220,46
266,51
203,41
233,46
207,41
248,49
238,47
290,58
299,61
239,48
251,52
290,59
233,44
286,55
254,52
203,39
259,52
293,58
253,52
229,43
201,41
267,51
226,46
274,53
248,47
283,57
278,56
255,52
205,40
235,47
261,50
255,50
248,50
270,53
261,51
231,45
201,42
293,58
260,50
291,56
235,48
292,57
239,48
209,42
294,58
239,48
214,42
234,44
239,48
241,47
220,42
295,59
283,58
236,49
264,51
247,49
259,49
274,53
288,59
