altura,granos
134,25
153,28
182,37
192,37
152,28
110,20
140,27
157,33
146,31
172,34
169,34
164,32
112,20
131,28
127,26
142,29
177,33
191,40
113,21
109,23
150,28
161,34
149,28
187,38
148,28
165,35
180,35
144,26
112,20
180,34
142,29
124,24
181,34
121,24
193,38
104,22
113,23
145,30
137,29
106,23
139,26
132,28
144,27
142,28
100,20
117,23
171,32
181,38
188,35
177,35
125,24
111,21
119,24
129,25
156,32
129,24
116,25
155,32
163,31
109,23
109,22
161,33
109,20
117,25
181,35
122,24
180,36
164,30
104,20
108,19
185,36
163,33
137,26
147,28
123,24
160,33
145,31
158,30
133,27
131,26
105,19
114,22
116,21
150,29
106,23
111,23
103,18
117,25
159,33
130,27
145,31
189,39
107,21
114,24
155,32
167,31
141,26
100,22
170,34
191,36
168,34
180,38
139,27
139,26
159,32
180,34
123,26
105,23
199,37
123,23
179,33
129,24
182,38
124,26
152,29
152,29
168,31
146,28
141,29
200,41
184,36
192,38
195,39
156,30
177,35
120,23
102,18
173,36
169,33
168,34
112,20
182,34
115,24
180,36
128,25
105,22
189,35
122,26
108,19
167,31
109,20
120,25
128,27
137,25
139,28
104,20
115,22
181,38
165,33
139,27
164,34
178,35
197,39
154,31
122,24
173,36
166,33
199,41
111,24
184,38
122,26
182,37
178,36
191,40
200,39
180,36
104,18
141,30
150,28
127,25
193,36
168,31
200,38
149,29
120,23
152,32
146,29
120,22
121,24
128,27
135,26
181,35
176,33
181,38
185,36
198,40
102,19
139,25
187,39
181,36
144,28
128,27
101,19
144,30
186,37
127,25
194,40
124,22
121,24
120,26
195,39
167,32
173,35
127,27
149,28
197,41
194,40
143,30
111,22
118,22
154,28
130,24
194,38
189,35
180,37
156,32
119,25
133,25
117,23
163,34
122,24
109,19
165,33
161,34
157,30
130,27
149,29
189,39
110,21
196,38
135,25
117,23
119,22
115,25
181,37
141,30
124,26
141,29
193,36
117,21
110,20
167,32
127,25
110,20
160,30
176,35
195,37
186,35
182,38
200,38
120,22
158,32
157,29
160,30
159,31
139,29
125,24
141,30
153,28
114,24
141,27
186,36
135,28
136,29
104,18
157,30
169,35
195,39
116,24
194,36
104,20
108,21
131,25
116,21
171,34
140,29
110,24
140,28
191,36
136,28
120,25
185,39
136,27
164,30
133,27
190,38
183,38
121,25
190,36
177,37
151,28
158,33
114,21
102,18
194,36
170,34
187,38
118,23
109,23
196,39
116,24
151,29
119,24
183,36
148,28
194,38
143,27
134,25
150,29
185,38
161,31
121,24
129,24
169,33
172,32
197,37
137,29
112,20
127,27
195,41
164,33
142,27
192,38
198,39
189,39
103,20
143,28
179,33
144,29
128,26
131,26
135,26
106,19
194,38
110,21
183,38
118,23
111,21
168,34
164,32
117,22
157,31
105,22
100,18
152,32
200,40
165,31
116,25
100,19
198,40
124,26
121,25
104,19
169,35
164,32
159,33
161,33
147,29
181,38
200,41
116,21
199,39
172,32
170,32
177,33
186,37
142,26
188,35
105,20
111,22
198,40
199,40
107,22
121,23
150,28
195,40
109,21
180,35
147,27
130,24
137,26
191,37
159,32
119,22
144,29
173,32
179,34
171,35
112,22
172,32
196,40
175,34
146,27
132,24
158,33
133,25
179,37
116,23
108,22
101,19
126,27
124,23
196,38
171,34
123,22
144,28
183,37
131,28
156,33
197,40
142,29
105,22
199,38
165,31
120,22
156,32
152,30
125,27
159,33
143,28
166,34
104,19
117,25
108,23
142,27
158,32
112,21
168,35
185,38
160,31
188,37
164,32
125,23
165,34
155,33
169,34
155,31
117,23
122,25
114,22
157,33
159,32
181,34
126,24
156,29
193,39
173,33
180,34
122,26
158,32
172,34
170,36
174,35
186,39
199,41
152,31
177,33
186,37
185,36
189,38
192,40
162,34
127,26
191,39
171,33
138,27
129,23
151,30
175,33
197,41
105,20
116,21
193,37
174,32
144,28
160,31
107,23
145,30
150,29
164,34
180,37
189,38
175,35
158,30
138,29
129,26
116,23
104,18
196,40
191,40
105,21
164,31
131,24
151,31
153,29
134,28
179,33
186,38
196,40
185,35
168,32
172,32
103,22
197,37
187,37
138,26
131,27
152,32
111,20
115,23
177,34
187,35
116,21
173,36
189,35
180,34
140,26
199,39
196,38
147,30
166,33
124,25
167,35
126,27
125,24
174,36
101,19
172,34
160,34
147,30
145,29
115,22
182,38
156,33
162,30
148,27
163,32
162,34
155,31
155,31
139,28
169,32
116,24
127,25
155,32
181,37
199,41
151,32
110,21
111,20
168,32
101,21
138,26
139,28
130,26
107,19
146,30
154,28
181,34
118,25
193,40
148,29
189,35
156,30
100,21
105,19
163,32
164,33
122,24
110,23
158,29
171,35
163,32
113,23
141,29
195,37
130,26
197,38
180,38
135,29
113,21
173,33
141,27
105,23
137,27
157,30
155,33
196,40
114,24
183,34
151,32
164,33
121,26
115,22
100,21
102,22
149,27
162,30
121,22
132,27
145,27
178,37
154,28
120,26
161,34
199,40
129,27
176,35
101,22
150,29
142,29
170,34
164,31
126,26
111,20
126,26
183,34
144,29
152,29
123,26
122,23
128,23
136,25
135,28
179,36
117,22
174,33
175,34
114,22
116,23
192,39
154,28
124,22
181,34
200,39
149,29
146,31
143,30
184,35
110,21
185,39
164,34
110,20
122,26
162,31
136,25
181,38
186,38
129,23
121,23
172,34
173,34
172,33
170,34
158,33
185,36
131,24
125,24
111,20
180,38
102,19
106,21
115,22
186,37
116,24
180,35
185,36
138,29
130,27
179,36
182,36
193,36
118,21
132,27
120,25
167,35
160,31
191,39
117,21
119,25
129,24
199,38
200,39
116,24
150,32
159,30
190,37
104,18
157,31
106,23
137,26
108,19
107,19
128,23
180,38
114,22
120,24
121,22
153,28
160,33
198,41
124,23
142,26
195,39
143,26
120,25
141,29
186,35
147,29
131,25
129,25
159,31
130,24
130,27
194,37
169,33
119,23
108,19
146,30
158,29
139,29
134,28
131,26
144,26
116,24
185,35
113,20
144,28
184,37
114,23
141,30
146,30
120,26
189,35
126,26
115,24
115,21
197,37
129,26
101,20
165,31
111,23
166,31
137,26
186,35
101,18
139,27
177,36
141,27
101,18
190,38
151,32
191,36
130,27
194,40
110,23
138,27
147,30
195,40
116,25
130,26
121,25
150,29
186,35
183,34
189,35
154,28
160,33
141,28
176,36
200,41
127,26
147,27
171,33
148,27
119,22
102,18
132,28
127,25
127,27
116,21
128,24
161,30
113,20
101,21
125,24
128,26
131,26
145,29
151,28
200,38
160,34
111,23
178,36
138,29
146,28
145,27
100,21
154,31
136,28
136,25
103,19
124,25
146,30
180,38
145,31
119,23
160,31
101,21
111,24
162,33
179,37
158,33
144,28
143,27
111,22
110,24
152,32
159,33
122,24
159,30
113,21
160,33
150,32
194,39
143,26
137,25
121,24
123,24
134,27
134,26
181,38
114,23
154,28
162,34
112,21
193,36
192,36
124,24
182,38
113,20
158,30
188,38
128,24
186,37
160,31
142,29
189,36
103,19
159,29
163,33
110,20
146,27
172,36
157,33
109,23
150,28
163,31
196,39
101,19
195,37
127,25
175,35
110,21
191,39
157,33
200,38
185,35
169,33
146,29
109,23
187,37
193,38
199,41
152,31
188,39
142,27
151,30
196,38
128,27
140,26
146,29
134,26
172,32
142,30
155,30
134,28
127,27
101,22
174,32
151,29
174,35
130,26
177,36
155,31
196,39
126,24
150,32
133,24
173,35
189,37
102,19
150,29
185,38
161,31
179,35
176,34
198,39
142,27
194,38
107,19
138,27
195,40
132,25
168,31
198,40
110,21
174,35
138,26
198,41
163,30
115,23
115,22
142,27
154,28
178,37
193,36
158,30
180,37
155,33
164,31
120,24
188,35
119,25
105,23
149,27
172,35
198,40
170,34
160,34
140,27
123,22
105,21
164,31
132,25
143,27
177,37
184,38
107,22
140,26
185,35
193,38
124,23
181,38
200,38
173,36
124,26
105,19
122,26
103,18
198,40
181,34
122,24
106,20
148,28
145,27
196,41
198,38
103,18
159,32
157,31
200,42
124,23
128,23
127,26
129,25
107,20
124,22
124,26
149,31
193,36
105,21
147,29
155,31
155,32
184,37
155,29
169,31
140,27
109,23
186,38
164,33
123,22
147,31
120,24
176,33
109,23
178,34
101,19
102,21
175,37
161,34
131,27
148,29
137,28
150,29
125,27
196,37
188,38
186,37
187,36
176,35
149,28
132,27
173,36
117,21
134,24
160,32
140,30
166,32
172,32
136,28
156,29
177,35
133,25
139,26
121,23
187,36
112,20
142,29
195,38
118,23
187,37
103,22
139,25
150,28
117,21
128,25
103,20
151,32
197,38
157,32
141,30
171,32
137,25
183,36
119,23
145,27
102,21
178,36
113,24
154,29
123,22
182,34
183,36
184,38
193,39
182,37
143,30
196,39
156,31
194,36
188,38
140,26
189,37
114,22
183,35
103,21
177,36
157,30
176,34
122,26
191,38
185,37
178,36
165,32
168,32
140,27
125,23
107,22
141,28
194,38
154,31
126,27
107,23
161,33
164,33
156,31
149,27
145,29
182,35
158,30
188,37
150,30
115,21
183,37
172,32
118,25
152,28
113,20
186,35
173,35
150,29
112,20
157,31
140,28
133,26
119,22
106,21
146,29
196,37
168,35
178,33
115,22
101,20
148,30
159,32
109,19
142,29
146,28
133,28
167,34
158,31
154,32
121,23
147,29
132,24
189,37
183,36
107,21
181,34
180,38
198,37
