altura,granos
227,45
433,88
804,159
234,44
731,144
272,52
366,74
232,47
802,158
260,54
401,82
800,160
113,20
902,180
511,104
831,168
599,118
672,136
358,73
129,24
449,87
149,27
587,116
191,39
826,163
464,93
421,84
686,136
832,168
205,41
326,66
844,167
721,146
472,94
750,151
153,30
222,42
939,186
627,123
165,35
634,127
824,163
659,132
969,194
472,96
244,47
121,25
836,167
567,111
807,163
472,93
413,84
156,33
580,115
926,184
178,33
467,91
240,48
914,182
968,193
477,93
452,92
557,111
442,89
689,135
572,114
983,195
708,142
619,123
231,45
334,66
370,73
357,73
539,108
886,178
275,56
642,127
606,121
490,99
652,130
606,120
367,71
615,123
162,34
554,112
998,197
144,27
273,53
974,196
795,159
295,58
100,20
614,120
995,201
742,150
581,116
871,172
536,109
554,108
832,168
927,187
888,177
939,187
850,171
268,51
542,106
472,92
705,141
454,91
313,64
895,178
819,163
256,50
203,38
816,161
438,86
252,51
525,107
808,160
715,145
773,155
608,120
680,134
810,163
700,138
764,152
390,79
301,59
216,45
464,94
173,36
803,161
673,132
986,195
786,158
510,104
983,198
223,44
422,85
301,59
602,120
982,198
766,154
644,128
875,175
483,97
497,98
901,182
704,141
486,99
856,173
567,113
105,21
758,149
970,193
402,80
365,75
659,129
486,98
403,80
678,134
432,87
651,132
197,37
335,68
296,58
465,92
425,84
399,81
339,65
282,57
847,171
652,132
201,41
813,164
405,83
187,37
942,186
181,38
130,25
904,181
514,103
415,84
640,127
361,73
491,99
646,127
815,163
698,139
385,75
674,133
798,160
528,103
399,79
680,137
560,113
206,42
551,111
269,53
133,26
812,160
953,192
701,142
473,95
886,177
637,129
768,155
170,33
574,116
447,89
732,148
665,133
407,83
288,59
723,145
350,71
937,189
224,46
191,36
881,176
338,65
921,184
267,52
797,157
501,100
339,69
234,45
210,43
368,74
539,106
593,118
449,90
920,186
492,100
806,163
892,180
762,150
451,89
959,190
648,131
467,93
394,80
113,22
761,154
779,153
588,115
580,115
197,38
826,166
270,55
835,167
527,104
812,163
906,179
383,74
524,105
263,54
599,118
596,119
965,194
910,180
430,85
740,147
208,40
686,137
439,85
316,63
449,87
307,60
166,32
508,103
661,133
389,78
221,44
286,56
784,158
963,191
985,197
232,45
872,172
429,85
685,137
916,181
695,141
375,73
459,93
904,178
750,151
505,102
672,133
101,19
693,136
553,110
920,182
673,133
434,86
109,19
342,66
971,193
917,182
832,166
733,146
253,51
240,48
201,42
359,69
809,159
823,165
976,195
443,89
973,193
777,155
891,177
442,88
584,117
783,158
